From	To
ADML_MOUSE	Adm
ADNP2_MOUSE	Adnp2
ADNP_MOUSE	Adnp
ADPGK_MOUSE	Adpgk
ADPPT_MOUSE	Aasdhppt
ADPRH_MOUSE	Adprh
ADPRM_MOUSE	Adprm
ADR1_MOUSE	Adipor1
ADR2_MOUSE	Adipor2
ADRB1_MOUSE	Adrb1
ADRB2_MOUSE	Adrb2
ADRB3_MOUSE	Adrb3
ADRM1_MOUSE	Adrm1
ADRO_MOUSE	Fdxr
ADSV_MOUSE	Scin
ADT1_MOUSE	Slc25a4
ADT2_MOUSE	Slc25a5
ADT4_MOUSE	Slc25a31
ADTRP_MOUSE	Adtrp
ADXL_MOUSE	Fdx1l
ADX_MOUSE	Fdx1
AEBP1_MOUSE	Aebp1
AEBP2_MOUSE	Aebp2
AEDO_MOUSE	Ado
AEGP_MOUSE	Mamdc4
AEN_MOUSE	Aen
AES_MOUSE	Aes
AF10_MOUSE	Mllt10
AF1L1_MOUSE	Afap1l1
AF1L2_MOUSE	Afap1l2
AF1Q_MOUSE	Mllt11
AF9_MOUSE	Mllt3
AFAD_MOUSE	Mllt4
AFAM_MOUSE	Afm
AFAP1_MOUSE	Afap1
AFF1_MOUSE	Aff1
AFF2_MOUSE	Aff2
AFF3_MOUSE	Aff3
AFF4_MOUSE	Aff4
AFG31_MOUSE	Afg3l1
AFG32_MOUSE	Afg3l2
AFTIN_MOUSE	Aftph
AG10B_MOUSE	Alg10b
AGAL_MOUSE	Gla
AGAP1_MOUSE	Agap1
AGAP2_MOUSE	Agap2
AGAP3_MOUSE	Agap3
AGFG1_MOUSE	Agfg1
AGFG2_MOUSE	Agfg2
AGGF1_MOUSE	Aggf1
AGK_MOUSE	Agk
AGM1_MOUSE	Pgm3
AGO1_MOUSE	Ago1
AGO2_MOUSE	Ago2
AGO3_MOUSE	Ago3
AGO4_MOUSE	Ago4
AGR2_MOUSE	Agr2
AGR3_MOUSE	Agr3
AGRA1_MOUSE	Adgra1
AGRA2_MOUSE	Adgra2
AGRA3_MOUSE	Adgra3
AGRB2_MOUSE	Adgrb2
AGRB3_MOUSE	Adgrb3
AGRD1_MOUSE	Adgrd1
AGRE1_MOUSE	Adgre1
AGRE4_MOUSE	Adgre4
AGRF1_MOUSE	Adgrf1
AGRF2_MOUSE	Adgrf2
AGRF3_MOUSE	ADGRF3
AGRF4_MOUSE	Adgrf4
AGRF5_MOUSE	Adgrf5
AGRG2_MOUSE	Adgrg2
AGRG3_MOUSE	Adgrg3
AGRG4_MOUSE	Adgrg4
AGRG5_MOUSE	Adgrg5
AGRG7_MOUSE	Adgrg7
AGRIN_MOUSE	Agrn
AGRL1_MOUSE	Adgrl1
AGRL2_MOUSE	Adgrl2
AGRL3_MOUSE	Adgrl3
AGRL4_MOUSE	Adgrl4
AGRP_MOUSE	Agrp
AGT2_MOUSE	Agxt2
AGTR2_MOUSE	Agtr2
AGTRA_MOUSE	Agtr1a
AGTRB_MOUSE	Agtr1b
AHDC1_MOUSE	Ahdc1
AHI1_MOUSE	Ahi1
AHRR_MOUSE	Ahrr
AHR_MOUSE	Ahr
AHSA1_MOUSE	Ahsa1
AHSA2_MOUSE	Ahsa2
AHSP_MOUSE	Ahsp
AICDA_MOUSE	Aicda
AIDA_MOUSE	Aida
AIF1L_MOUSE	Aif1l
AIF1_MOUSE	Aif1
AIFM1_MOUSE	Aifm1
AIFM2_MOUSE	Aifm2
AIFM3_MOUSE	Aifm3
AIG1_MOUSE	Aig1
AIM2_MOUSE	Aim2
AIMP1_MOUSE	Aimp1
AIMP2_MOUSE	Aimp2
AINX_MOUSE	Ina
AIPL1_MOUSE	Aipl1
AIP_MOUSE	Aip
AIRE_MOUSE	Aire
AJAP1_MOUSE	Ajap1
AJUBA_MOUSE	Ajuba
AK17B_MOUSE	Akap17b
AK1A1_MOUSE	Akr1a1
AK1CD_MOUSE	Akr1c13
AK1CL_MOUSE	Akr1c21
AK1D1_MOUSE	Akr1d1
AKA10_MOUSE	Akap10
AKA12_MOUSE	Akap12
AKA7A_MOUSE	Akap7
AKA7G_MOUSE	Akap7
AKAP1_MOUSE	Akap1
AKAP2_MOUSE	Akap2
AKAP3_MOUSE	Akap3
AKAP4_MOUSE	Akap4
AKAP5_MOUSE	Akap5
AKAP8_MOUSE	Akap8
AKAP9_MOUSE	Akap9
AKC1H_MOUSE	Akr1c18
AKCL2_MOUSE	Akr1e2
AKD1B_MOUSE	Ankdd1b
AKIB1_MOUSE	Ankib1
AKIP1_MOUSE	Akip1
AKIP_MOUSE	Aurkaip1
AKIR1_MOUSE	Akirin1
AKIR2_MOUSE	Akirin2
AKNA_MOUSE	Akna
AKP8L_MOUSE	Akap8l
AKT1_MOUSE	Akt1
AKT2_MOUSE	Akt2
AKT3_MOUSE	Akt3
AKTIP_MOUSE	Aktip
AKTS1_MOUSE	Akt1s1
AL14E_MOUSE	Arl14ep
AL1A1_MOUSE	Aldh1a1
AL1A2_MOUSE	Aldh1a2
AL1A3_MOUSE	Aldh1a3
AL1A7_MOUSE	Aldh1a7
AL1B1_MOUSE	Aldh1b1
AL1L1_MOUSE	Aldh1l1
AL1L2_MOUSE	Aldh1l2
AL2CL_MOUSE	Als2cl
AL2SB_MOUSE	Als2cr12
AL3A1_MOUSE	Aldh3a1
AL3A2_MOUSE	Aldh3a2
AL3B1_MOUSE	Aldh3b1
AL4A1_MOUSE	Aldh4a1
AL5AP_MOUSE	Alox5ap
AL7A1_MOUSE	Aldh7a1
AL8A1_MOUSE	Aldh8a1
AL9A1_MOUSE	Aldh9a1
ALAT1_MOUSE	Gpt
ALAT2_MOUSE	Gpt2
ALBU_MOUSE	Alb
ALD1_MOUSE	Akr1b7
ALD2_MOUSE	Akr1b8
ALDH2_MOUSE	Aldh2
ALDOA_MOUSE	Aldoa
ALDOB_MOUSE	Aldob
ALDOC_MOUSE	Aldoc
ALDR_MOUSE	Akr1b1
ALEX_MOUSE	Gnas
ALG11_MOUSE	Alg11
ALG12_MOUSE	Alg12
ALG13_MOUSE	Alg13
ALG14_MOUSE	Alg14
ALG1_MOUSE	Alg1
ALG2_MOUSE	Alg2
ALG3_MOUSE	Alg3
ALG5_MOUSE	Alg5
ALG6_MOUSE	Alg6
ALG8_MOUSE	Alg8
ALG9_MOUSE	Alg9
ALKB1_MOUSE	Alkbh1
ALKB2_MOUSE	Alkbh2
ALKB3_MOUSE	Alkbh3
ALKB4_MOUSE	Alkbh4
ALKB5_MOUSE	Alkbh5
ALKB6_MOUSE	Alkbh6
ALKB7_MOUSE	Alkbh7
ALKB8_MOUSE	Alkbh8
ALKMO_MOUSE	Agmo
ALK_MOUSE	Alk
ALLC_MOUSE	Allc
ALMS1_MOUSE	Alms1
ALOX8_MOUSE	Alox8
ALPK1_MOUSE	Alpk1
ALPK2_MOUSE	Alpk2
ALPK3_MOUSE	Alpk3
ALRF2_MOUSE	Alyref2
ALR_MOUSE	Gfer
ALS2_MOUSE	Als2
ALS_MOUSE	Igfals
ALX1_MOUSE	Alx1
ALX3_MOUSE	Alx3
ALX4_MOUSE	Alx4
AMACR_MOUSE	Amacr
AMBN_MOUSE	Ambn
AMBP_MOUSE	Ambp
AMD_MOUSE	Pam
AMELX_MOUSE	Amelx
AMER1_MOUSE	Amer1
AMER2_MOUSE	Amer2
AMER3_MOUSE	Amer3
AMERL_MOUSE	Ammecr1l
AMFR_MOUSE	Amfr
AMGO1_MOUSE	Amigo1
AMGO2_MOUSE	Amigo2
AMGO3_MOUSE	Amigo3
AMHR2_MOUSE	Amhr2
AMMR1_MOUSE	Ammecr1
AMNLS_MOUSE	Amn
AMOL1_MOUSE	Amotl1
