From	To
ACHB2_HUMAN	CHRNB2
ACHB3_HUMAN	CHRNB3
ACHB4_HUMAN	CHRNB4
ACHB_HUMAN	CHRNB1
ACHD_HUMAN	CHRND
ACHE_HUMAN	CHRNE
ACHG_HUMAN	CHRNG
ACINU_HUMAN	ACIN1
ACK1_HUMAN	TNK2
ACKR1_HUMAN	ACKR1
ACKR2_HUMAN	ACKR2
ACKR3_HUMAN	ACKR3
ACKR4_HUMAN	ACKR4
ACL10_HUMAN	ACTL10
ACL6A_HUMAN	ACTL6A
ACL6B_HUMAN	ACTL6B
ACL7A_HUMAN	ACTL7A
ACL7B_HUMAN	ACTL7B
ACLY_HUMAN	ACLY
ACM1_HUMAN	CHRM1
ACM2_HUMAN	CHRM2
ACM3_HUMAN	CHRM3
ACM4_HUMAN	CHRM4
ACM5_HUMAN	CHRM5
ACMSD_HUMAN	ACMSD
ACO11_HUMAN	ACOT11
ACO12_HUMAN	ACOT12
ACO13_HUMAN	ACOT13
ACO15_HUMAN	THEM5
ACOC_HUMAN	ACO1
ACOD_HUMAN	SCD
ACON_HUMAN	ACO2
ACOT1_HUMAN	ACOT1
ACOT2_HUMAN	ACOT2
ACOT4_HUMAN	ACOT4
ACOT6_HUMAN	ACOT6
ACOT8_HUMAN	ACOT8
ACOT9_HUMAN	ACOT9
ACOX1_HUMAN	ACOX1
ACOX2_HUMAN	ACOX2
ACOX3_HUMAN	ACOX3
ACOXL_HUMAN	ACOXL
ACP7_HUMAN	ACP7
ACPH_HUMAN	APEH
ACPM_HUMAN	NDUFAB1
ACRBP_HUMAN	ACRBP
ACRC_HUMAN	ACRC
ACRO_HUMAN	ACR
ACS2A_HUMAN	ACSM2A
ACS2B_HUMAN	ACSM2B
ACS2L_HUMAN	ACSS1
ACSA_HUMAN	ACSS2
ACSF2_HUMAN	ACSF2
ACSF3_HUMAN	ACSF3
ACSF4_HUMAN	AASDH
ACSL1_HUMAN	ACSL1
ACSL3_HUMAN	ACSL3
ACSL4_HUMAN	ACSL4
ACSL5_HUMAN	ACSL5
ACSL6_HUMAN	ACSL6
ACSM1_HUMAN	ACSM1
ACSM3_HUMAN	ACSM3
